,Date
0,2020-12-01 00:00:00
1,2020-12-02 00:00:00
2,2020-12-03 00:00:00
3,2020-12-04 00:00:00
4,2020-12-05 00:00:00
5,2020-12-06 00:00:00
6,2020-12-07 00:00:00
7,2020-12-08 00:00:00
8,2020-12-09 00:00:00
9,2020-12-10 00:00:00
10,2020-12-11 00:00:00
11,2020-12-12 00:00:00
12,2020-12-12 00:00:00
13,2020-12-13 00:00:00
14,2020-12-14 00:00:00
15,2020-12-15 00:00:00
16,2020-12-16 00:00:00
17,2020-12-17 00:00:00
18,2020-12-18 00:00:00
19,2020-12-19 00:00:00
20,2020-12-20 00:00:00
21,2020-12-21 00:00:00
22,
23,2020-12-23 00:00:00
24,2020-12-24 00:00:00
25,2020-12-25 00:00:00
26,2020-12-26 00:00:00
27,2020-12-27 00:00:00
28,2020-12-28 00:00:00
29,2020-12-29 00:00:00
30,2020-12-30 00:00:00
31,2020-12-31 00:00:00
Date,"0    2020-12-01
1    2020-12-02
2    2020-12-03
3    2020-12-04
4    2020-12-05
5    2020-12-06
6    2020-12-07
7    2020-12-08
8    2020-12-09
9    2020-12-10
10   2020-12-11
11   2020-12-12
12   2020-12-12
13   2020-12-13
14   2020-12-14
15   2020-12-15
16   2020-12-16
17   2020-12-17
18   2020-12-18
19   2020-12-19
20   2020-12-20
21   2020-12-21
22          NaT
23   2020-12-23
24   2020-12-24
25   2020-12-25
26   2020-12-26
27   2020-12-27
28   2020-12-28
29   2020-12-29
30   2020-12-30
31   2020-12-31
Name: Date, dtype: datetime64[ns]"
